"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1784511117295006011","Sun Apr 28 09:12:59 +0000 2024","2545","『MAIZURU PLAYBACK FES.2024』 THANK YOU️‍ ――――SETLIST―――― 01. Ding Ding Dong 02. We never Die 03. SUMMER HYPE 04. Meant to be feat. F.HERO &amp; BOOM BOOM CASH 05. In My Head 06. Animal 07. God Mode 08. Most Wanted ~ Front Burner ~ Make U a Believer ~ PASION 09. WAVIN' 10. Drop https://t.co/HlL2iaNPmV","1784511117295006011","https://pbs.twimg.com/media/GMPbZpKagAAo6Lt.jpg","","en","","81","31","437","https://twitter.com/ballistik_fext/status/1784511117295006011","1112263822654361600","ballistik_fext"
"1786655662728208456","Sat May 04 07:14:39 +0000 2024","3","kemejanya beneran kek pendukung paslon 02 banget https://t.co/27pu7gvysE","1786655662728208456","https://pbs.twimg.com/ext_tw_video_thumb/1786653058178666496/pu/img/HC0vEe4yOQ5IKYzE.jpg","","in","dubaddu wari-wari ᥫ᭡  ","0","5","0","https://twitter.com/yjunxchoi/status/1786655662728208456","1405401938317889536","yjunxchoi"
"1786715386626584929","Sat May 04 12:01:00 +0000 2024","3","@abuyahany Salahnya sendiri yang milih paslon 02 skarang rasakan apa2 serba MEHONG uang kuliah naik ber-kali2 lipat.. Oke gas jogetin aza.. Kan sdh terkena jebakan bansos utk kampanye anaknye tp kt MK JKW tdk ikut cawe2 &amp; bukan nepotisme pdhl jelas melanggar etik berat MK=MAHKAMAH KLG https://t.co/tuGmTfemGC","1786727726982042050","https://pbs.twimg.com/media/GMu7ZgVb0AAuOYB.jpg","abuyahany","in","","0","1","0","https://twitter.com/LuckyLudjaina/status/1786727726982042050","1607359469318725633","LuckyLudjaina"
"1786530876790104371","Fri May 03 22:58:47 +0000 2024","0","*Keputusan MK Ternyata Dinyatakan TIDAK SYAH &amp; TIDAK MEMPUNYAI KEKUATAN HUKUM Jadi waktu suhartoyo &amp; Kpu menangkan paslon 02 itu BATAL DEMI HUKUM..!!!* https://t.co/k01mdP7GqE","1786530876790104371","https://pbs.twimg.com/ext_tw_video_thumb/1786530746280407040/pu/img/H_IH1e6iKT9CwbQ-.jpg","","in","","0","0","0","https://twitter.com/Yuharuddin29648/status/1786530876790104371","1649731069745430528","Yuharuddin29648"
"1784187168568811691","Sat Apr 27 11:45:44 +0000 2024","112","Bismillah MasyaAllah Tabaraqallah Prabowo-gibran yg dimenangkan @officialMKRI @aniesbaswedan yg di Lantik nanti Kasian @prabowo Aku suka tulisan ku sendiri Bodo amat sama pendukung Paslon 02 Anies Baswedan itu yg Terbaik dah pokoknya ","1784187168568811691","","","in","","2","14","17","https://twitter.com/NinzExe07/status/1784187168568811691","1651123026203901952","NinzExe07"
"1786549162013606069","Sat May 04 00:11:27 +0000 2024","9","#MagmaBoiFanart #NuggetSMP #Au ¿Quién es ella? Au! Mío. Ella es Azalea (viene de el nombre de una flor) le dicen también Lea . Ella es una antigua amiga de Bael lo que los hacía cercanos era su pasión por las flores+ https://t.co/WgrCNfcikl","1786549162013606069","https://pbs.twimg.com/media/GMsYJU2WQAA1P9w.jpg","","es","","0","1","1","https://twitter.com/Lixse_02/status/1786549162013606069","1519415986822303744","Lixse_02"
"1786647250111995929","Sat May 04 06:41:13 +0000 2024","1","Jika hasil gugatan ini dikabulkan bisa pertimbangan MPR tidak melantik pasangan 02 menjadi presiden dan wakil presiden. Hal tersebut dikatakan olh Tim Hukum PDIP Gayus Lumbuun.Dia berpendapat bisa Paslon 02 ditunda pelantikannya apabila hak permohonan dr tim hukum dikabulkan. https://t.co/ebA10rRXZE","1786647250111995929","https://pbs.twimg.com/media/GMtyMtla4AAecqr.jpg","","in","Riau, Indonesia","0","0","0","https://twitter.com/PutraMelay6837/status/1786647250111995929","1722218525522300928","PutraMelay6837"
"1784179140930981980","Sat Apr 27 11:13:50 +0000 2024","5","should i burn all my baby blue clothes cause paslon 02 voter joke is actually offended me https://t.co/Io9LR2PDJ6","1784179140930981980","https://pbs.twimg.com/tweet_video_thumb/GMKtd4TbwAARwXx.jpg","","en","fan acc | block = i ended u","0","2","0","https://twitter.com/butdaddyilovher/status/1784179140930981980","1372503575931150337","butdaddyilovher"
"1786795178113773704","Sat May 04 16:29:02 +0000 2024","13","Lho kok tiba² membelot ke penguin? Sepertinya beliau main di dua kaki. Selain support paslon 02 Olla Muthe sepertinya dia jg support 03 Feni Lyn Seperti yang kita tahu Lyn sahabat se-Elite roomnya. Juga Feni senior yg cukup dekat sm dia. Jadi ada indikasi Fio main di 2 kaki","1786795178113773704","","","in","Fiony","0","0","0","https://twitter.com/kreestee15/status/1786795178113773704","1500736417210966016","kreestee15"
"1786397628810625500","Fri May 03 14:09:19 +0000 2024","0","Ada yang bisa jelaskan dari mana suara Paslon 02 58% ?? https://t.co/2XuZGb5dq3","1786397628810625500","https://pbs.twimg.com/media/GMqPKrKbcAAlgKe.jpg","","in","","0","0","0","https://twitter.com/Virsi6/status/1786397628810625500","1272768497945178112","Virsi6"
"1787094847750627705","Sun May 05 12:19:48 +0000 2024","0","kamu kenapa pake biru gantengku? sejak paslon 02 pake biru aku jarang pake koleksi baju biruku kesel bawaanya","1787094847750627705","","","in","indonesia","0","3","0","https://twitter.com/peemwacute/status/1787094847750627705","1741690966208282624","peemwacute"
"1786313969269137735","Fri May 03 08:36:53 +0000 2024","4","TRIK JOKOWI MAIN DANA APBN UNT CAWE PASLON 02 PILPRES 2024 https://t.co/MRMRONvNUG","1786313969269137735","","","in","","0","0","1","https://twitter.com/ENS53311139/status/1786313969269137735","1168102826624483329","ENS53311139"
"1786305488139047319","Fri May 03 08:03:10 +0000 2024","0","Jendral (purn) mantan pangkostrad dan danjend koppasus ttpi bonéka yg disiapkan mantan tukang mebel (Allah memerintahkan lidahnya utk. membuka aibnya). =================== *Padahal MK udah mati²an bilang Jokowi gak Cawe cawe dan gak mempengaruhi elektabilitas paslon 02. https://t.co/Q2YbQNnTDb","1786305488139047319","https://pbs.twimg.com/ext_tw_video_thumb/1786305425236996096/pu/img/PWUPBDy0ezwgzY-t.jpg","","in","indonesia ","0","0","0","https://twitter.com/khassan5210/status/1786305488139047319","1727543465289175040","khassan5210"
"1784240630979326036","Sat Apr 27 15:18:10 +0000 2024","1442","Los fachas intentan ridiculizar a Maria Jesus Montero @mjmonteroc con este video. Yo solo veo pasion y lealtad que nunca vere en el partido popular. Ellos están acostumbrados a que Ayuso los convoque en Genova para matar políticamente a Pablo Casado. https://t.co/4SEROlsaHC","1784240630979326036","https://pbs.twimg.com/amplify_video_thumb/1784185855948492800/img/KOuN3jhdwRnRYvE3.jpg","","es","Andalucía, España","26","701","348","https://twitter.com/h0m3r02/status/1784240630979326036","182002366","h0m3r02"
"1784026295883432032","Sat Apr 27 01:06:29 +0000 2024","4","Cuando uno hace las cosas bien y con pasión se nota agradezco a los partido que me han invitado a formar parte de su equipo sin embargo mi convicción y compromiso con las personas y el movimiento que creyó en mi desde el principio jamás lo cambiaré es momento de lo nuevo https://t.co/7DA0P8e2JI","1784026295883432032","https://pbs.twimg.com/media/GMIiderWcAAYeps.jpg","","es","Mexico","0","0","0","https://twitter.com/ErwinAvila02/status/1784026295883432032","1212975195549339648","ErwinAvila02"
"1785455844752019931","Tue Apr 30 23:47:00 +0000 2024","0","Molestar a mi ex es mi pasión https://t.co/HRwIixW2FC","1785455844752019931","https://pbs.twimg.com/media/GMc2oRmW8AAxb2T.jpg","","es","Toluca, México","0","0","0","https://twitter.com/SoniaVeloz02/status/1785455844752019931","800819199568330753","SoniaVeloz02"
"1785390394391355739","Tue Apr 30 19:26:55 +0000 2024","105","El pase de Toni es sexo pero sexo con amor con pasión sin nalgadas besos intensos y fogosidad. Simplemente hermoso.","1785390394391355739","","","es","Honduras","1","8","6","https://twitter.com/SammyMarz02/status/1785390394391355739","2816217976","SammyMarz02"
"1787024314925248751","Sun May 05 07:39:32 +0000 2024","3","ratah pilih paslon 02?!","1787024314925248751","","","in","house of izurina","0","1","0","https://twitter.com/hetawoutsu/status/1787024314925248751","1413803302106529793","hetawoutsu"
"1784850027661373503","Mon Apr 29 07:39:42 +0000 2024","4","Apa kau gak tahu ya ODGJ berperan penting memenangkan Paslon 02 !","1784850027661373503","","","in","Papua New Guinea","0","2","2","https://twitter.com/PuteraKonoha/status/1784850027661373503","1725353019058147328","PuteraKonoha"
"1784060422854996274","Sat Apr 27 03:22:05 +0000 2024","0","jadi dulu pas sebelum hari H pemilu henko sempat taruhan sama teman-teman henko karena kita beda pilihan paslon. nah karena henko pendukung 02 henko pun bilang gini kalau misalkan 02 menang aku bakal pakai baju maid ke event jejepangan . https://t.co/9FzIE6Tw3n","1784060422854996274","https://pbs.twimg.com/media/GMJBfsdaQAAw1xw.jpg","","in","","0","1","0","https://twitter.com/Atarashi_Henko/status/1784060422854996274","1630521348987715584","Atarashi_Henko"
"1784021963054481412","Sat Apr 27 00:49:16 +0000 2024","0","Ketika Paslon 01 telah mengucapkan selamat kepada Paslon 02 sebagai pemenang tentunya harus banyak akun yang perlu diganti judul namanya. https://t.co/wHdIwz8LhD","1784021963054481412","https://pbs.twimg.com/media/GMIehWZaEAAc95F.jpg","","in","Kalimantan Timur, Indonesia","0","0","0","https://twitter.com/kpu_menang/status/1784021963054481412","1654130856095793152","kpu_menang"
"1784842444015870295","Mon Apr 29 07:09:34 +0000 2024","0","Saya pendukung Paslon 02 &amp; mungkin sebagai rakyat pendukung prabowo-gibran tdk setuju jika Anis gabung di pemerintahan prabowo-gibran dan jika itu terjadi maka pada pilpres berikutnya mk saya &amp; seluruh keluarga besar tdk akan lg memilih prabowo-gibran di 2029 https://t.co/46r0TdIrGH","1784842444015870295","https://pbs.twimg.com/media/GMUIvUcbwAEGegK.jpg","","in","","0","0","0","https://twitter.com/SurantaSahputra/status/1784842444015870295","1357550957849051137","SurantaSahputra"
