"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1752469422579818658","Tue Jan 30 23:39:42 +0000 2024","0","@marufsirojudin1 Capek ya berbulan2 promo Paslon 03 tp yg dipromo Susah jualnya. ","1752476713626513435","","marufsirojudin1","in","","0","1","0","https://twitter.com/Dulure_Gibran/status/1752476713626513435","4319618606","Dulure_Gibran"
"1752129156442460448","Tue Jan 30 23:05:43 +0000 2024","0","@M45Broo Iyah.....klo Ganjar dan Anies nangis nangis minta dicpblos nanti...klo Prabowo nanti jadi Presiden Insya Allah rakyat nanti adil makmur......","1752468160639549531","","M45Broo","in","Jakarta","0","0","0","https://twitter.com/muradayub321/status/1752468160639549531","800033510","muradayub321"
"1752273488336105672","Tue Jan 30 22:44:21 +0000 2024","6","@destinyy_dest @rmcherrie si duta sopan aja stay di eropa berminggu2 during the latest debat capres pulang balik indo tbtb join gimmick drama sedih krn prabowo dinilai 5/10 &amp; 11/100 bocah fomo yg fame nya kebantu biru chava","1752462782682063098","","destinyy_dest","in","","0","0","0","https://twitter.com/kyrenaaa11/status/1752462782682063098","1701211443079843840","kyrenaaa11"
"1752459707372257598","Tue Jan 30 22:32:08 +0000 2024","0","nasib Prabowo sedih banget asli ikut pemilu 3x mulai dari umur yang fit gagal terus sampe skg di usia tuanya dipaksa nyapres cuman untuk jadi boneka oligarki ini yang dukung dan kader partainya sendiri emang mau menjerumuskan beliau apa gimana sih?","1752459707372257598","","","in","","0","0","0","https://twitter.com/oatdansusu/status/1752459707372257598","1472260059568635905","oatdansusu"
"1752343920489717869","Tue Jan 30 21:43:01 +0000 2024","0","@Fahrihamzah enggak bang kami sayang dan dukung prabowo untuk itu kami tidak akan pilih prabowo beliau sudah sepuh jalan sudah susah apalagi dipakai mikir otaknya buat debat aja kalah apalagi disuruh kerja ngurus negara kasian bang sudah sepuh kasian beliau dimanfaatin jokowi doang","1752447350579372511","","Fahrihamzah","in","ÜT: -7.769627,110.378316","0","0","0","https://twitter.com/aull_udell/status/1752447350579372511","60601072","aull_udell"
"1751807201512140964","Tue Jan 30 20:36:29 +0000 2024","1","@DamnItJev @pennejisung @veennnnnn @um_fess Sebenernya lu tuh cari jawaban apa sih? Minta validasi bahwa prabowo bukan pelanggar ham? Susah mas. Dia aja mengakui kok gimana? Jawaban apa yang lu cari lagi?","1752430606695510284","","taehkook","in","PAYMENT QRIS DAN LINK DANA","0","0","0","https://twitter.com/taehkook/status/1752430606695510284","1519340117718343680","taehkook"
"1752345551033839809","Tue Jan 30 20:08:14 +0000 2024","0","@dekade_08 Dipimpin bapaknya Gibran pupuk subsidi susah belinya susah dapatnya","1752423493940170980","","dekade_08","in","","0","0","0","https://twitter.com/parlanlalan2/status/1752423493940170980","705756864483471360","parlanlalan2"
"1752164689260556384","Tue Jan 30 19:14:41 +0000 2024","0","@BANGSAygSUJUD @kurawa @cuitcuap_ @WaktunyaIDMaju @prabowoisme @bengkeldodo @P4P4B0W0_2024 @zy_zy_its_me @Chavesz08 @are_inismyname @4Y4NKZ Nntik di kirain nangis terharu atau ngefans sama Prabowo rupanya nangis kakinya kejepit sorry yeeeee kagak ketipuuu guaa","1752410019411427544","","BANGSAygSUJUD","in","","0","0","0","https://twitter.com/94Mustawa/status/1752410019411427544","1501931389121298436","94Mustawa"
"1751959410472263860","Tue Jan 30 19:01:02 +0000 2024","0","@tvOneNews Sedih baca hasil survey kqrena tidak ada tinjauan akademik......setiap kali survey dalam pemilu selalu tertinggi dan hasilakhir tetap PRABOWO kalah","1752406583173349606","","tvOneNews","in","East Nusa Tenggara, Indonesia","0","0","0","https://twitter.com/terry_gawa/status/1752406583173349606","902224971757346816","terry_gawa"
"1752402608424460418","Tue Jan 30 18:45:14 +0000 2024","1","Buser yg sdh kerja mati2an tdk bisa disalahkan. Mmg Capres nya susah dijual sih.","1752402608424460418","","","in","","0","0","0","https://twitter.com/Dulure_Gibran/status/1752402608424460418","4319618606","Dulure_Gibran"
