"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1762749437447966938","Wed Feb 28 23:58:45 +0000 2024","0","@Bramakumba123 @bengkeldodo @agussubianto @prabowo @ListyoSigitP Grebek aja berani / atau kamu mungkin duluan yg digrebek dijamin pasti bakal nangis dan Ngompol ditempat ","1762990756825108667","","Bramakumba123","in","Hutan Rimba, Tanah Agung ","0","1","0","https://twitter.com/widyastuti_tri/status/1762990756825108667","291543160","widyastuti_tri"
"1762981299109900431","Wed Feb 28 23:21:10 +0000 2024","1","gak kebayang kamisan hari ini dan seterusnya semenjak prabowo diapain itu lah sama jokowi....... ah sedih banget..... sending my hugs and prayers untuk semua partisipan kamisan.. i really hope to join you all soon...","1762981299109900431","","","in","she/her. 18↑. DNFF","0","0","0","https://twitter.com/otacooI/status/1762981299109900431","1070197220316598272","otacooI"
"1762783109488239087","Wed Feb 28 23:14:53 +0000 2024","0","@SeriDianawati Derita sudrun menunggu Jokowi turun... Sudrun g0bl0k penyepong p3juh... Ntar bulan Oktober Jokowi akan turun sendiri drun.. Dilanjut dengan rezim Prabowo &amp; Gibran.. Penderitaan lu akan diperpanjang.. Mending lu minggat ke rohingya drun.. ","1762979715982463114","","SeriDianawati","in","Kota Surabaya, Jawa Timur","0","1","0","https://twitter.com/ChallsOfrivia/status/1762979715982463114","1607378277014065154","ChallsOfrivia"
"1762447077626581391","Wed Feb 28 23:09:09 +0000 2024","0","@ada_pohan @nauval_12 @aewin86 @jokowi @prabowo Krisis beras salah pemerintah Bang buka mata lu kalo perlu jalan² ke kampung dr kemarin itu hujan trs bang mau ngeringin gaban/padi itu susah nya ya allahh apalagi sblmnya kemaruu krisis airr","1762978272529559956","","ada_pohan","in","","0","0","0","https://twitter.com/dianziahh/status/1762978272529559956","1620833536210255875","dianziahh"
"1762507774267949198","Wed Feb 28 23:07:35 +0000 2024","0","@Raihann83638626 @H4T14K4LN4L42 @jokowi @prabowo Yg susah rakyat juga bego udah udah terima aja","1762977876935127321","","Raihann83638626","in","indonesia, ","0","0","0","https://twitter.com/Wah_Yudha/status/1762977876935127321","273442117","Wah_Yudha"
"1762975852378435757","Wed Feb 28 22:59:32 +0000 2024","0","@Fahrihamzah @fadlizon masih bangga dengan kenaikan pangkatnya Prabowo??? Kalian tidak sedih melihat harga beras naik gila-gilaan??? Inget ri zon bakalan ada pertanggungjawaban diakherat nanti semoga rakyat tidak menuntut kalian disana.","1762975852378435757","","Fahrihamzah","in","","0","1","0","https://twitter.com/_bangagoengDuA/status/1762975852378435757","1084569967394095104","_bangagoengDuA"
"1762840380020797572","Wed Feb 28 22:54:29 +0000 2024","3","@AndreasSolusi pembenci Prabowo nangis berhari2 udah menang pilpres kehormatannya di kembalikan dan terima penghargaan kenaikan pangkat jendral penuh.","1762974581105754354","","AndreasSolusi","in","","0","0","0","https://twitter.com/mas_veel/status/1762974581105754354","1709123175450288128","mas_veel"
"1762884162179227980","Wed Feb 28 22:46:47 +0000 2024","3","@Papa_Brewook @prabowo Sebenarnya Ndak senang juga sih bang lihat orang SUSAH tp ya gimana lagi klo ingat gimana mereka merendahkan dan menghina finally harus di lampiaskan sambil komat Kamit minta ampun pd Gusti ","1762972642775269421","","Papa_Brewook","in","","0","1","0","https://twitter.com/VaniaKiara3002/status/1762972642775269421","1244536424793174016","VaniaKiara3002"
"1762970954232451499","Wed Feb 28 22:44:10 +0000 2024","0","padahal itu akun fungsi awalnya buat nyampah dan nangis tapi sambil ditemenin gambar hua cheng ngew sama xie lian malah ada FOTO PRABOWO. bjingan airmata gw masuk lagi","1762971984038900088","","jahesekoteng","in","💙☁","0","0","0","https://twitter.com/jahesekoteng/status/1762971984038900088","1324635579330383873","jahesekoteng"
"1762691541267849218","Wed Feb 28 22:40:47 +0000 2024","1","@Aryprasetyo85 @007koteka @03__nakula @__AnakKolong @_memoryusang @islah_bahrawi @Miduk17 @mikuroQ @vita_AVP @seruanhl Iya saya juga rasanya sulit percaya seorang Prabowo bisa dikendalikan Jokowi setelah dia jadi presiden dan Jokowi gak punya kekuasaan lagi dari sejak masih di TNI Prabowo dikenal sbg jendral yg susah dikendalikan siapapun bahkan oleh mertuanya sendiri Soeharto","1762971136051360167","","Aryprasetyo85","in","","0","0","0","https://twitter.com/irhamnapermana/status/1762971136051360167","180112404","irhamnapermana"
