"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1762981077969506686","Wed Feb 28 23:58:34 +0000 2024","8","@Ronnie_Rusli @prabowo Sebelumnya saya kagum thd anda ternyata","1762990708070416606","","Ronnie_Rusli","in","","0","1","0","https://twitter.com/tonichan157/status/1762990708070416606","3254804335","tonichan157"
"1762813300470174031","Wed Feb 28 23:28:28 +0000 2024","0","@Jayabay19479190 Stlh ber tahun2 mengkritik pedassss jokowi menolak IKN menghina infrastruktur jln tol dn bendungan dibangun ktnya rakyat dak perlu jalan tol oleh AHY dn demokrat Skr diangkat jd mentri br terpukau dg IKN meuja meuji jokowi ky prabowo kuuuuuk","1762983135040643320","","Jayabay19479190","in","","0","0","0","https://twitter.com/i_kasna/status/1762983135040643320","1041565788056907776","i_kasna"
"1762840903348306288","Wed Feb 28 20:46:34 +0000 2024","0","@fahiraidris @prabowo Dulu aku sempat kagum padamu...sekarang dilepeh aja.","1762942392230117643","","fahiraidris","in","","0","0","0","https://twitter.com/JonnyQuiet/status/1762942392230117643","1604692362739220480","JonnyQuiet"
"1762786654870536583","Wed Feb 28 20:09:31 +0000 2024","5","@fadlizon @prabowo Sebelum nya kagum dgn kecerdasan fadlizon tapi setelah merasa bangga dgn tni pecatan diberi penganugrahan Jendral Kehormatan oleh tukang kibul cerdas nya ilang yg tersisa cuma Fadli Zonk.","1762933066736316859","","fadlizon","in","Bogor Selatan, Indonesia","0","0","0","https://twitter.com/RianRD2/status/1762933066736316859","927513899376586752","RianRD2"
"1762709193293984192","Wed Feb 28 16:20:29 +0000 2024","1","@Dennysiregar7 @Dennysiregar7 ya berarti ga aneh dan itu hal yang wajar. Buktinya hampir semua TNI kagum sama Prabowo. Saya keluarga besar TNI bro.","1762875429856428043","","Dennysiregar7","in","Semarang Barat, Indonesia","0","0","0","https://twitter.com/Edyyul7/status/1762875429856428043","2915975970","Edyyul7"
"1762847726860144883","Wed Feb 28 14:30:24 +0000 2024","0","Woyyy Lo kira manusia di Indonesia ini cuma tentang Jokowi dan Prabowo?!! Dangkal bener ternyata cara pikir ente.nyesel gua pernah terkagum kagum sama bacotan yang dibayar negara itu.","1762847726860144883","","","in","Indonesia","0","0","0","https://twitter.com/sholehachmad36/status/1762847726860144883","917049745","sholehachmad36"
"1716410533958795487","Wed Feb 28 14:21:14 +0000 2024","0","@Gerindra mindra Pak Prabowo dan Mas Gibran serta ajudan Pak Prabowo yang aku follow min selain itu gak ada min jadi bisalah min kasih aku hadiah aku kagum dan sayang banget sama Bapak min ","1762845418046865516","","Gerindra","in","","0","1","0","https://twitter.com/skyxzview/status/1762845418046865516","1284513929100550149","skyxzview"
"1762840926832267373","Wed Feb 28 14:03:23 +0000 2024","28","Berita yang lewat; AHY; terpukau mimpi besar Jokowi Airlangga; Jokowi akan berperan dipemerintahan Prabowo Jokowi; cek ke pasar beras naik atau tidak Deddy; Beras vs Skincare TNI; bukan dipecat tapi diperhentikan Prabowo; pegang pundak berat ya. Emil; Jakarta Juara ","1762840926832267373","","","in","Pandora","0","9","3","https://twitter.com/Bebque__/status/1762840926832267373","1041269358545125376","Bebque__"
"1762816340568805626","Wed Feb 28 12:25:41 +0000 2024","0","Cara Jokowi Tuntaskan Kasus Pelanggaran HAM yang Jerat Prabowo Membuat Kagum https://t.co/y6cYKw819X","1762816340568805626","","","in","","0","0","0","https://twitter.com/RepelitaO/status/1762816340568805626","1225432911899324419","RepelitaO"
"1762804093800898610","Wed Feb 28 11:37:01 +0000 2024","0"," satu per satu semuanya kembali ke prabowo ya ck ck ck (kagum) ucap temen gw all in 02","1762804093800898610","","","in","hogwarts","0","1","0","https://twitter.com/matcharene/status/1762804093800898610","942752753251520512","matcharene"
