"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1797615624501567867","Mon Jun 03 13:08:39 +0000 2024","0","@Im_tsoraya kang tukang apaansi ngomong yg jelas","1797616386283556913","","Im_tsoraya","in","Serang, Indonesia","0","0","0","https://x.com/Prilgabb/status/1797616386283556913","1747472197659283456","Prilgabb"
"1797031086209577417","Mon Jun 03 13:08:19 +0000 2024","0","@sunfloweresly LC itu apa ?","1797616303311876229","","sunfloweresly","in","Cilegon, Indonesia","0","0","0","https://x.com/serangbante/status/1797616303311876229","1469794074269945857","serangbante"
"1797616193647628773","Mon Jun 03 13:07:53 +0000 2024","0","1 teman yang hilang Allah kembalikan sahabat2 lama yang sempat menghilang..... Selamat ulang tahun untuk diriku...","1797616193647628773","","","in","Serang, Indonesia","0","0","0","https://x.com/rusnideden/status/1797616193647628773","743419133933432832","rusnideden"
"1797521706086813979","Mon Jun 03 13:07:25 +0000 2024","0","@fdmncfdmnc @IsmandaYogie Wahaha izin ngikut nimbrung ges ‍️‍️","1797616076861403392","","fdmncfdmnc","in","Serang, Indonesia","0","0","0","https://x.com/afnizarnur/status/1797616076861403392","193643387","afnizarnur"
"1797605357126296046","Mon Jun 03 13:07:22 +0000 2024","0","@alwaysputzz pe","1797616064786018559","","alwaysputzz","und","Kota Cilegon, Banten","0","0","0","https://x.com/Nialyusan/status/1797616064786018559","1526786995619438592","Nialyusan"
"1797601766030393557","Mon Jun 03 13:06:59 +0000 2024","0","@chocowmiin What did you mean? Thanks to umji? Are you kidding me?","1797615969705369706","","chocowmiin","en","Serang, Banten Indonesia","0","0","0","https://x.com/your_xmile/status/1797615969705369706","842598473304231940","your_xmile"
"1797615624501567867","Mon Jun 03 13:06:24 +0000 2024","1","@Im_tsoraya ni akun munculnya pas ada war doang","1797615820505534839","","Prilgabb","in","Serang, Indonesia","0","1","0","https://x.com/Prilgabb/status/1797615820505534839","1747472197659283456","Prilgabb"
"1797580621239443620","Mon Jun 03 13:06:02 +0000 2024","0","@avmaze ngaji","1797615728440574397","","avmaze","in","Kota Cilegon, Banten","0","0","0","https://x.com/ilhammfds/status/1797615728440574397","1611994627","ilhammfds"
"1797615624501567867","Mon Jun 03 13:05:37 +0000 2024","1","tl gd war tu sepi yaa","1797615624501567867","","","in","Serang, Indonesia","0","2","0","https://x.com/Prilgabb/status/1797615624501567867","1747472197659283456","Prilgabb"
"1797615588648612207","Mon Jun 03 13:05:29 +0000 2024","0","BPJS Ketenagakerjaan Resah Praktik Percaloan di Lingkungannya Marak Warga Diminta Waspada https://t.co/teCrmTFsGU","1797615588648612207","","","in","Kota Serang, Banten","0","0","0","https://x.com/KabarBanten72/status/1797615588648612207","775598663024259072","KabarBanten72"
"1797615546424492241","Mon Jun 03 13:05:19 +0000 2024","0","BPJS Ketenagakerjaan Resah Praktik Percaloan di Lingkungannya Marak Warga Diminta Waspada https://t.co/teCrmTFsGU","1797615546424492241","","","in","Kota Serang, Banten","0","0","0","https://x.com/KabarBanten72/status/1797615546424492241","775598663024259072","KabarBanten72"
"1797613289507340503","Mon Jun 03 13:05:11 +0000 2024","0","@mbohwan Pengetahuannya","1797615514136801677","","mbohwan","in","Kota Cilegon, Banten","0","1","0","https://x.com/hidayahdong/status/1797615514136801677","2473411724","hidayahdong"
"1797615429478912452","Mon Jun 03 13:04:51 +0000 2024","0","Penjambret Handphone di Kabupaten Serang Ditangkap Personel Polres Serang Saat Masak Nasi Liwet https://t.co/emjSNfg1Zn","1797615429478912452","","","in","Kota Serang, Banten","0","0","0","https://x.com/KabarBanten72/status/1797615429478912452","775598663024259072","KabarBanten72"
"1797615196401487886","Mon Jun 03 13:03:55 +0000 2024","0","inikah rasanya dikhianati ","1797615196401487886","","","in","Serang, Indonesia","0","0","0","https://x.com/kakakmie/status/1797615196401487886","1682949349800812544","kakakmie"
"1797613336399618472","Mon Jun 03 13:03:30 +0000 2024","0","@tanyarlfes Doneeee","1797615092437266666","","tanyarlfes","en","Cilegon, Indonesia","0","0","0","https://x.com/pipinyamatthew/status/1797615092437266666","1509832912031850499","pipinyamatthew"
"1797583276087091460","Mon Jun 03 13:03:05 +0000 2024","0","@wintuyouwish Aaaaaa chukkae kaaaa enjoy buat konsernya &amp; semoga pcd nya ga lama2 yaaa","1797614987441303806","","wintuyouwish","in","Cilegon, Indonesia","0","0","0","https://x.com/pipinyamatthew/status/1797614987441303806","1509832912031850499","pipinyamatthew"
"1797612720315085196","Mon Jun 03 13:01:46 +0000 2024","0","@cingreborn Anggur","1797614654719709374","","cingreborn","in","Cilegon, Indonesia","0","0","0","https://x.com/pipinyamatthew/status/1797614654719709374","1509832912031850499","pipinyamatthew"
"1797612720315085196","Mon Jun 03 13:01:39 +0000 2024","0","@cingreborn Batu baterai","1797614626538229818","","cingreborn","eu","Cilegon, Indonesia","0","0","0","https://x.com/pipinyamatthew/status/1797614626538229818","1509832912031850499","pipinyamatthew"
"1797612720315085196","Mon Jun 03 13:01:20 +0000 2024","0","@cingreborn Uang koin","1797614545600708730","","cingreborn","in","Cilegon, Indonesia","0","0","0","https://x.com/pipinyamatthew/status/1797614545600708730","1509832912031850499","pipinyamatthew"
"1797614525388341508","Mon Jun 03 13:01:15 +0000 2024","1","kapan aku dapet ticket kaget kek gini ada yg mo beliin ak ga buat fancon xdc","1797614525388341508","","","in","Serang, Indonesia","0","0","0","https://x.com/Prilgabb/status/1797614525388341508","1747472197659283456","Prilgabb"
"1797614451405082685","Mon Jun 03 13:00:57 +0000 2024","0","#WTS Iphone 13 128gb ibox Garansi on desember 2024 Bh 98% Fullset original Face id truetone aman Part masih original semua Lokasi serang banten jauh bisa rekber tokopedia Minat dm #jualiphone #wtsiphone #iphone13 #zonauang #ZonaBA #Zonajajan #zonabu https://t.co/ovIPY5MvK2","1797614451405082685","https://pbs.twimg.com/media/GPJo0PhaEAA5R6j.jpg","","in","Serang, Indonesia","0","0","0","https://x.com/diki_nrsyh/status/1797614451405082685","1735058961022541824","diki_nrsyh"
"1797614400024576390","Mon Jun 03 13:00:45 +0000 2024","0","Tanpa ada proses penjaringan kandidat Partai Demokrat resmi mendukung Andika Hazrumy di Pemilihan Kepala Daerah Kabupaten Serang 2024. #andikahazrumy https://t.co/45yFJ7oCml","1797614400024576390","","","in","Serang, Banten, Indonesia","0","0","0","https://x.com/biemdotco/status/1797614400024576390","77148918","biemdotco"
"1797614268935995587","Mon Jun 03 13:00:14 +0000 2024","0","alhamdulillahhh jgn lupa bersyukur guys!","1797614268935995587","","","in","Serang, Indonesia","0","0","0","https://x.com/gerintul_ijo/status/1797614268935995587","1107170153999982594","gerintul_ijo"
"1792791159498273060","Mon Jun 03 12:57:02 +0000 2024","0","Slot avail Gensale Day 1 Day 2 ","1797613465424830697","","ridas_kstuff","en","Kota Serang, Banten","0","0","0","https://x.com/ridas_kstuff/status/1797613465424830697","1359914705364475906","ridas_kstuff"
"1797602060998959381","Mon Jun 03 12:56:51 +0000 2024","0","@_twlf Kek aku cuma lebih ikat rambut bukan jedai ","1797613419593654330","","_twlf","in","Kota Cilegon, Banten","0","1","0","https://x.com/hidayahdong/status/1797613419593654330","2473411724","hidayahdong"
"1797254356804448410","Mon Jun 03 12:56:45 +0000 2024","0","@tanyakanrl ini weh https://t.co/xMYOvRQRNZ","1797613394230723009","https://pbs.twimg.com/media/GPJn1qobkAIQrnj.jpg","tanyakanrl","in","Serang, Indonesia","0","0","0","https://x.com/rezkydiary/status/1797613394230723009","1341366822","rezkydiary"
"1792791159498273060","Mon Jun 03 12:56:29 +0000 2024","0","https://t.co/Z2oXdHy0eC","1797613327218364869","","ridas_kstuff","zxx","Kota Serang, Banten","0","1","0","https://x.com/ridas_kstuff/status/1797613327218364869","1359914705364475906","ridas_kstuff"
"1797613289507340503","Mon Jun 03 12:56:20 +0000 2024","0","Nilai +++ kepada cwo pinter","1797613289507340503","","","in","Kota Cilegon, Banten","0","1","0","https://x.com/hidayahdong/status/1797613289507340503","2473411724","hidayahdong"
"1797539939594424628","Mon Jun 03 12:56:09 +0000 2024","0","@InfosuporterID Itu kan keturunan bukan naturalisasi.. Bapak aja yg pindah negara aja bs? Orang dpr soalnya kalau isinya kaya bapak ga bakal maju2 indonesia","1797613239565734187","","InfosuporterID","in","ÜT: -6.0172227,106.0503008","0","0","0","https://x.com/hakiki_ramli/status/1797613239565734187","127615299","hakiki_ramli"
"1797609031252758824","Mon Jun 03 12:56:06 +0000 2024","0","@_BangFu Kan BEDA bang ","1797613229549740471","","_BangFu","in","Kota Serang, Banten","0","0","0","https://x.com/FinallyErwin/status/1797613229549740471","2999489844","FinallyErwin"
"1797613194032427055","Mon Jun 03 12:55:58 +0000 2024","0","Getuk rasa cinta https://t.co/CrturTiXOB","1797613194032427055","https://pbs.twimg.com/media/GPJnqrzbAAErvIa.jpg","","in","Serang, Indonesia","0","0","0","https://x.com/Putri_wijaya01/status/1797613194032427055","899080754696642560","Putri_wijaya01"
