,Unnamed: 0,conversation_id_str,created_at,favorite_count,label,full_text,translated_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,preprocessed_text
0,0,1770238273145000213,Tue Mar 19 23:57:48 +0000 2024,0,anger,Update baru 32 propinsi DKI dominasi Prabowo Gibran. 95% Yang Waras waspada!! PKI &amp; HTI serta gerombolan sedang provokasi &amp; penghasutan @AdhieMassardi @alisyarief @aniesbaswedan @cakimiNOW @MardaniAliSera @ShamsiAli2 @msaid_didu @ZAEffendy @DokterTifa @hnurwahid sebar hoax,New update for 32 DKI provinces dominated by Prabowo Gibran. The Sane 95% beware!! PKI &amp; HTI and gangs are provoking &amp; incitement @AdhieMassardi @alisyarief @aniesbaswedan @cakimiNOW @MardaniAliSera @ShamsiAli2 @msaid_didu @ZAEffendy @DokterTifa @hnurwahid spreading hoaxes,1770238273145000213,,,in,Bogor - Jakarta,0,0,0,https://twitter.com/WismantoWahyu/status/1770238273145000213,1085177612,WismantoWahyu,New update for 32 DKI provinces dominated by Prabowo Gibran. The Sane 95% beware!! PKI &amp; HTI and gangs are provoking &amp; incitement @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER spreading hoaxes
1,2,1770235600303727049,Tue Mar 19 23:57:35 +0000 2024,0,others,@Megatop99 @prabowo Gini ya contoh kasus penculikan dan penangkapan aktivis ... Itu banyak yang aktivis 98 yang pernah diculik Bapak akhirnya ikut Bapak. Mereka tahu lebih banyak. Tapi ada cerita yang hilang soal nasib aktivis2 yang tidak kembali kemungkinan besar di luar jangkauan Bapak jg.,"@Megatop99 @prabowo Here's an example of a case of kidnapping and arrest of activists... Many of the 98 activists who were kidnapped by you ended up coming with you. They know more. But there is a missing story about the fate of the activists who did not return, most likely beyond your reach.",1770238220871344495,,RadenTheoOFC,in,Isla-Milagrosa,0,2,0,https://twitter.com/RadenTheoOFC/status/1770238220871344495,1725727497579614208,RadenTheoOFC,"@USER @USER Here's an example of a case of kidnapping and arrest of activists.. Many of the 98 activists who were kidnapped by you ended up coming with you. They know more. But there is a missing story about the fate of the activists who did not return, most likely beyond your reach."
2,6,1769660177320652966,Tue Mar 19 23:56:45 +0000 2024,0,others,@PutraPe24992947 @Dennysiregar7 @prabowo @nazaqistsha Yok kite tonton yuks. Ngiahahhahahajajajajjaa,"@PutraPe24992947 @Dennysiregar7 @prabowo @nazaqistsha Come on, let's watch it. Ngiahahhahahahajajajajjaa",1770238008534712823,,PutraPe24992947,in,"Brussel, Belgia",0,1,0,https://twitter.com/H1m4_W4r1/status/1770238008534712823,1379044492464943104,H1m4_W4r1,"@USER @USER @USER @USER Come on, let's watch it. Ngihahajajajajjaa"
3,7,1769896257672380790,Tue Mar 19 23:56:16 +0000 2024,0,others,@ANDALASHUSNI Tps ku menang prabowo? Salam jw tengah?,@ANDALASHUSNI But can Prabowo win? Greetings middle JW?,1770237885666767019,,ANDALASHUSNI,in,,0,0,0,https://twitter.com/Debot31086032/status/1770237885666767019,1440985120471613448,Debot31086032,@USER But can Prabowo win? Greetings middle JW?
4,8,1770013661173817536,Tue Mar 19 23:56:04 +0000 2024,0,disgust,@prabowo Petani yg d gusur kenapa tidak anda kunjungi jendral?? Trus kpd PJ bupati dan aparat kepolisian yg menangkap masyarakat anda berterimakasih juga donk pastinya https://t.co/2O9UUbU0JL,"@prabowo Farmers who have been evicted why don't you visit the general?? Then to the PJ regent and the police officers who arrested the people, you are also grateful, of course https://t.co/2O9UUbU0JL",1770237837566480478,https://pbs.twimg.com/media/GJEl7lYaUAAqN8c.jpg,prabowo,in,,0,0,0,https://twitter.com/Bakorsiliko15/status/1770237837566480478,1738205483230752768,Bakorsiliko15,"@USER Farmers who have been evicted why don't you visit the general?? Then to the PJ regent and the police officers who arrested the people, you are also grateful, of course HTTPURL"
5,9,1770235600303727049,Tue Mar 19 23:55:52 +0000 2024,0,others,@Megatop99 @prabowo Tapi faktanya status Bapak Purnawirawan TNI Dan Wiranto masih Wantimpres-nya Pak Jokowi gimana coba ...,"@Megatop99 @prabowo But the fact is that the status of Mr. Retired TNI and Wiranto is still Pak Jokowi's Wantimpres, what do you think...",1770237786538532927,,Megatop99,in,Isla-Milagrosa,0,2,0,https://twitter.com/RadenTheoOFC/status/1770237786538532927,1725727497579614208,RadenTheoOFC,"@USER @USER But the fact is that the status of Mr. Retired TNI and Wiranto is still Pak Jokowi's Wantimpres, what do you think.."
6,10,1770125787121037354,Tue Mar 19 23:55:47 +0000 2024,122,disgust,@geloraco Jiaaaah ngutang ningan ? @prabowo @jokowi Gede mulutnya aja maksi gratis,@geloraco Jiaaaah do you owe ningan? @prabowo @jokowi Just a big mouth means free maxi,1770237763977457953,,geloraco,in,,0,3,4,https://twitter.com/amelcewaw/status/1770237763977457953,1661041817138368512,amelcewaw,@USER Jiaah do you owe ningan? @USER @USER Just a big mouth means free maxi
7,11,1770112750578172231,Tue Mar 19 23:55:24 +0000 2024,2,sadness,@ejaferdiansyah @prabowo @gibran_tweet Jadi presiden tapi muka nya memelas banget.. Kasian. Makanya cari keduniaan pake cara yg halal.. jangan segala aturan ditabrak. Tapi baiklah selamat menikmati kemenangan ya.. selamat berjoget...,"@ejaferdiansyah @prabowo @gibran_tweet So president but his face is really sad... Poor thing. That's why you should seek the world in a halal way... don't break all the rules. But okay, enjoy your victory, OK? Happy dancing...",1770237668783517850,,ejaferdiansyah,in,,0,5,0,https://twitter.com/mywr1921/status/1770237668783517850,1662712470304358400,mywr1921,"@USER @USER @USER So president but his face is really sad.. Poor thing. That's why you should seek the world in a halal way.. don't break all the rules. But okay, enjoy your victory, OK? Happy dancing.."
8,12,1770109149961126363,Tue Mar 19 23:55:10 +0000 2024,0,others,@sexy_killer404 PEMILU YANG MENANG PRABOWO KOK YANG DI SALAHKAN JOKOWI....WARAS ORA LIK...,@sexy_killer404 WHY JOKOWI WON THE ELECTION THAT JOKOWI WON...,1770237609983533187,,sexy_killer404,in, Gunung lawu Indonesia,0,0,0,https://twitter.com/henrysunardi851/status/1770237609983533187,978631235537846272,henrysunardi851,@USER WHY JOKOWI WON THE ELECTION THAT JOKOWI WON..
9,13,1770235600303727049,Tue Mar 19 23:54:11 +0000 2024,1,others,@RadenTheoOFC @prabowo Di Era Modern HAM itu ada standard Internasionalnya Helm saja ada standardnya apalagi HAM. Klarifikasi itu boleh2 saja tapi fakta Hukum berupa Pemecatan dari TNI itu nyata adanya. https://t.co/uIkXdDCi6S,"@RadenTheoOFC @prabowo In the modern era of human rights, there are international standards, even helmets have standards, let alone human rights. Clarification is fine, but the legal fact in the form of dismissal from the TNI is real. https://t.co/uIkXdDCi6S",1770237365413654808,https://pbs.twimg.com/media/GJElgBjacAA2c1_.jpg,RadenTheoOFC,in,Indonesia,0,1,0,https://twitter.com/Megatop99/status/1770237365413654808,278039207,Megatop99,"@USER @USER In the modern era of human rights, there are international standards, even helmets have standards, let alone human rights. Clarification is fine, but the legal fact in the form of dismissal from the TNI is real. HTTPURL"
